model,version,table,field,type,length,precision,scale,default
omop,v5.4,visit_detail,care_site_id,integer,,,,
omop,v5.4,visit_detail,person_id,integer,,,,
omop,v5.4,visit_detail,provider_id,integer,,,,
omop,v5.4,visit_detail,visit_detail_id,integer,,,,
omop,v5.4,visit_detail,visit_detail_concept_id,integer,,,,
omop,v5.4,visit_detail,visit_detail_end_date,date,,,,
omop,v5.4,visit_detail,visit_detail_end_datetime,datetime,,,,
omop,v5.4,visit_detail,visit_occurrence_id,integer,,,,
omop,v5.4,visit_detail,visit_detail_source_concept_id,integer,,,,
omop,v5.4,visit_detail,visit_detail_source_value,string,50,,,
omop,v5.4,visit_detail,visit_detail_start_date,date,,,,
omop,v5.4,visit_detail,visit_detail_start_datetime,datetime,,,,
omop,v5.4,visit_detail,visit_detail_type_concept_id,integer,,,,
omop,v5.4,visit_detail,admitted_from_concept_id,integer,,,,
omop,v5.4,visit_detail,discharged_to_concept_id,integer,,,,
omop,v5.4,visit_detail,preceding_visit_detail_id,integer,,,,
omop,v5.4,visit_detail,parent_visit_detail_id,integer,,,,
omop,v5.4,visit_detail,admitted_source_value,string,50,,,
omop,v5.4,visit_detail,discharged_to_source_value,string,50,,,
